id,name,summary
consulting,Consulting,"Advisory work helping clients solve business, tech, deals, and strategy problems."
tech,Technology,"Software, data, product, and IT operations roles across startups and big tech."
finance,Finance,"Banking, investment, corporate finance, and risk roles."
fmcg,FMCG,"Fast-moving consumer goods companies (brand, supply chain, insights)."
healthcare,Healthcare,"Pharma, biotech, healthtech, and regulatory affairs."
marketing,Marketing & Advertising,"Brand, digital, growth, and research roles."
operations,Operations & Supply Chain,"Logistics, planning, business operations, continuous improvement."
energy,Energy & Sustainability,"Renewables, grid, sustainability consulting, and energy analytics."
nonprofit,Nonprofit & Public Sector,"Policy, program, research roles in NGOs and government."
startups,Startups & Entrepreneurship,"Early-stage roles in product, growth, and engineering."
